Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2019-02-22,1756.162841796875,1760.129951806427,1737.4215172095862,1748.4565065592935,2271955
2019-02-25,1810.4259033203125,1814.8490055157467,1760.5859322352508,1762.4099010850155,2934880
2019-02-26,1859.2625732421875,1865.144939485919,1798.6612536921375,1809.37707051601,6453309
2019-02-27,1876.955322265625,1892.3221269567887,1844.0325939166153,1860.448314337238,4732082
2019-02-28,1808.8756103515625,1889.0391814202321,1803.5405232966548,1878.6880682936473,8454295
2019-03-01,1819.773681640625,1828.5287095557978,1806.048271983546,1819.4545093680413,4148548
2019-03-05,1813.1163330078125,1830.3528620456862,1802.628511426584,1828.5288930750378,2449622
2019-03-06,1823.6041259765625,1837.6487090954408,1810.3348187190302,1814.2107527208443,2635047
2019-03-07,1836.0987548828125,1845.902589947774,1824.1516668124157,1828.529237697504,2539884
2019-03-08,1844.6707763671875,1854.0642600904603,1833.1342629244027,1846.768384989268,2031071
2019-03-11,1837.46630859375,1854.0643810008967,1827.2976597430843,1850.325267032938,3111689
2019-03-12,1835.3232421875,1846.58634031255,1826.7050328187752,1836.7825065118502,2658550
2019-03-13,1824.4246826171875,1838.4692637988537,1804.4522031915767,1835.8244869324662,1833163
2019-03-14,1812.477783203125,1831.0822868627197,1806.6410608925949,1828.483042312828,1905495
